sku,recency,frequency,monetary,R_Score,F_Score,M_Score,RFM_Segment,RFM_Score,Segment,Churn_Status
JNE3790-KR-XS,10,6,1523.0,3,2,2,322,7,Others,Needs Nurturing
JNE3790-KR-XXL,7,20,6104.0,3,4,3,343,10,Champions,Needs Nurturing
JNE3790-KR-XXXL,14,21,6495.38,2,4,3,243,9,Champions,Needs Nurturing
JNE3791-DR-L,20,9,3579.0,2,3,2,232,7,Others,Needs Nurturing
JNE3791-DR-M,22,4,1684.0,2,2,2,222,6,Others,Needs Nurturing
JNE3791-DR-S,12,4,1197.0,3,2,1,321,6,Others,Needs Nurturing
JNE3791-DR-XL,1,9,3466.0,4,3,2,432,9,Champions,Needs Nurturing
JNE3791-DR-XS,15,4,1596.0,2,2,2,222,6,Others,Needs Nurturing
JNE3791-DR-XXL,10,13,4750.0,3,3,3,333,9,Champions,Needs Nurturing
JNE3791-DR-XXXL,8,10,4332.0,3,3,3,333,9,Champions,Needs Nurturing
JNE3792-KR-L,8,4,1728.0,3,2,2,322,7,Others,Needs Nurturing
JNE3792-KR-M,9,4,1728.0,3,2,2,322,7,Others,Needs Nurturing
