sku,recency,frequency,monetary,R_Score,F_Score,M_Score,RFM_Segment,RFM_Score,Segment,Churn_Status
JNE3751-KR-XXXL,10,26,9284.86,3,4,3,343,10,Champions,Needs Nurturing
JNE3752-KR-L,4,8,2803.0,4,3,2,432,9,Champions,Needs Nurturing
JNE3752-KR-M,3,7,2451.76,4,2,2,422,8,Loyal,Retained
JNE3752-KR-S,28,2,345.0,2,1,1,211,4,Others,Needs Nurturing
JNE3752-KR-XL,67,4,1448.0,1,2,2,122,5,At Risk,Churn Likely
JNE3752-KR-XS,37,2,680.0,1,1,1,111,3,At Risk,Churn Likely
JNE3752-KR-XXL,15,4,1397.57,2,2,2,222,6,Others,Needs Nurturing
JNE3752-KR-XXXL,21,7,2449.57,2,2,2,222,6,Others,Needs Nurturing
JNE3753-KR-L,5,13,6447.0,3,3,3,333,9,Champions,Needs Nurturing
JNE3753-KR-M,35,4,1972.0,1,2,2,122,5,At Risk,Churn Likely
JNE3753-KR-S,14,7,3325.0,2,2,2,222,6,Others,Needs Nurturing
JNE3753-KR-XL,10,4,1900.0,3,2,2,322,7,Others,Needs Nurturing
JNE3753-KR-XS,12,2,950.0,3,1,1,311,5,Others,Needs Nurturing
JNE3753-KR-XXL,44,5,2423.0,1,2,2,122,5,At Risk,Churn Likely
JNE3753-KR-XXXL,16,15,7198.38,2,3,3,233,8,Others,Needs Nurturing
JNE3756-KR-L,10,12,5774.0,3,3,3,333,9,Champions,Needs Nurturing
JNE3756-KR-M,1,8,4383.0,4,3,3,433,10,Champions,Needs Nurturing
JNE3756-KR-S,58,4,1924.81,1,2,2,122,5,At Risk,Churn Likely
JNE3756-KR-XL,12,11,5328.0,3,3,3,333,9,Champions,Needs Nurturing
JNE3756-KR-XS,21,6,2922.0,2,2,2,222,6,Others,Needs Nurturing
JNE3756-KR-XXL,2,13,6273.0,4,3,3,433,10,Champions,Needs Nurturing
JNE3756-KR-XXXL,4,10,4353.81,4,3,3,433,10,Champions,Needs Nurturing
JNE3757-KR-L,3,21,10012.0,4,4,3,443,11,Champions,Needs Nurturing
JNE3757-KR-M,11,14,6719.0,3,3,3,333,9,Champions,Needs Nurturing
JNE3757-KR-S,3,11,5270.0,4,3,3,433,10,Champions,Needs Nurturing
JNE3757-KR-XL,2,22,11015.43,4,4,4,444,12,Champions,Needs Nurturing
JNE3757-KR-XS,6,6,2898.81,3,2,2,322,7,Others,Needs Nurturing
JNE3757-KR-XXL,3,26,12539.81,4,4,4,444,12,Champions,Needs Nurturing
JNE3757-KR-XXXL,5,4,1942.0,3,2,2,322,7,Others,Needs Nurturing
JNE3758-KR-L,18,18,6520.0,2,4,3,243,9,Champions,Needs Nurturing
JNE3758-KR-M,5,15,5471.0,3,3,3,333,9,Champions,Needs Nurturing
JNE3758-KR-S,4,12,4373.0,4,3,3,433,10,Champions,Needs Nurturing
JNE3758-KR-XL,8,15,5515.0,3,3,3,333,9,Champions,Needs Nurturing
JNE3758-KR-XS,46,3,1086.0,1,1,1,111,3,At Risk,Churn Likely
JNE3758-KR-XXL,2,15,5462.0,4,3,3,433,10,Champions,Needs Nurturing
JNE3758-KR-XXXL,7,7,2510.0,3,2,2,322,7,Others,Needs Nurturing
JNE3759-KR-L,50,5,2131.0,1,2,2,122,5,At Risk,Churn Likely
JNE3759-KR-M,45,7,3790.0,1,2,2,122,5,At Risk,Churn Likely
